ID	Lat/Long	Neighbours
1	40.701765,-74.011358,249.8h,-9.36p,1z	2,3,5
2	40.702993,-74.011536,79.97h,-4.03p,1z	4,1,58
3	40.702499,-74.012881,335.98h,8.18p,1z	1,4
4	40.702731,-74.012171,53.99h,-2.36p,1z	2,3,5
5	40.70322,-74.008034,206.81h,-3.54p,1z	1,6,7
6	40.703395,-74.007812,308.49h,-0.04p,1z	5,9,57
7	40.704045,-74.00893,36.62h,2.96p,1z	5,8,58
8	40.704141,-74.008922,317.85h,0.65p,1z	7,9,56
9	40.703871,-74.008347,317.38h,-0.79p,1z	6,8,10
10	40.704291,-74.007664,228.87h,2.07p,1z	9,12,56,57
11	40.70423,-74.006372,220.84h,-4.01p,1z	12,17,57
12	40.704783,-74.006925,130.64h,1.49p,1z	10,11,13,15
13	40.705158,-74.007362,173.02h,-9.51p,1z	56,59
14	40.705632,-74.006818,228.03h,-0.22p,1z	59,47,22
15	40.705173,-74.006429,209.89h,-4.01p,1z	59,12,16
16	40.705284,-74.006283,209.75h,7.83p,1z	15,17,20
17	40.704695,-74.005634,236.39h,-0.9p,1z	11,16,18
18	40.705269,-74.004781,53.4h,-0.66p,1z	17,19,20
19	40.705475,-74.004508,231.48h,-7.75p,1z	18,21,27
20	40.706027,-74.005299,228.5h,5.43p,1z	16,21,18,22
21	40.705978,-74.005169,232.34h,-8.99p,1z	20,23,19,25
22	40.706124,-74.005996,136.02h,-6.02p,1z	14,60,23,20
23	40.706382,-74.005743,42.02h,1.92p,1z	22,44,24,21
24	40.706933,-74.004943,225.28h,3.24p,1z	23,25,61,34
25	40.706419,-74.004594,131.63h,-32.69p,1z	24,21,26,27
26	40.706534,-74.004374,48.56h,-2.17p,1z	24,25,30,28
27	40.705851,-74.003821,-147.29h,5p,1z	19,25,28
28	40.705988,-74.003589,222.21h,5.93p,1z	27,29,26
29	40.706304,-74.00327,187.21h,1.44p,1z	28,32,30
30	40.706778,-74.003597,337.3h,3.99p,1z	29,31,62
31	40.707097,-74.002779,35.7h,17.65p,1z	37,32,30
32	40.706728,-74.002353,236.82h,-4.01p,1z	29,31
33	40.707237,-74.003934,68.43h,11.29p,1z	34,37,62
34	40.707493,-74.004112,206.39h,10.51p,1z	33,38,35,24
35	40.707689,-74.003612,14.3h,-13.64p,1z	36,38,34
36	40.708053,-74.00337,224.03h,9.91p,1z	37,35
37	40.707645,-74.00308,339.85h,2.85p,1z	31,36,33
38	40.707884,-74.004276,245.58h,8.37p,1z	39,35,61,34
39	40.708411,-74.004821,130.99h,5p,1z	55,40,38
40	40.707979,-74.006021,65.7h,6.05p,1z	39,41,61
41	40.708276,-74.006506,117.14h,9.69p,1z	40,42,53,55
42	40.707852,-74.006804,-173.96h,5p,1z	41,52,43,45
43	40.707225,-74.005939,242.3h,11.7p,1z	42,44,61
44	40.707003,-74.006466,202.58h,0.9p,1z	43,60,23
45	40.707193,-74.007386,130.37h,-1.28p,1z	60,50,51,42
46	40.706429,-74.007108,199.04h,-3.22p,1z	60,47,49
47	40.706043,-74.007461,197.81h,2.41p,1z	46,48,59
48	40.706961,-74.008976,235.58h,-9.74p,1z	49,47
49	40.707347,-74.008603,9.29h,14.54p,1z	48,50,46
50	40.707698,-74.008306,110.15h,2.37p,1z	49,45,51
51	40.708035,-74.008059,147.86h,-6.94p,1z	50,52,45
52	40.708281,-74.007551,354h,5.84p,1z	51,53,42
53	40.708704,-74.007292,196.04h,5p,1z	52,41,54
54	40.709558,-74.006499,91.72h,-13.98p,1.34z	53,55
55	40.709,-74.005355,135.65h,-0.99p,1z	39,41,54
56	40.704591,-74.00826,44.01h,-2.51p,1z	8,10,13
57	40.703796,-74.007054,234.09h,1.45p,1z	6,10,11
58	40.703279,-74.010283,245.09h,6.09p,1z	2,7
59	40.705469,-74.007005,227.37h,1.84p,1z	13,14,15
60	40.706737,-74.006792,131.59h,6.08p,1z	44,45,46
61	40.707407,-74.005492,146.78h,2.66p,0.5z	38,40,43,24
62	40.706926,-74.00387,124.63h,12.64p,1z	26,30,33
