ID	Lat/Long	Neighbours
1	35.19600173,-80.82712954,249.8h,-9.36p,1z	2,103,3,5
2	35.20719133,-80.82408268,79.97h,-4.03p,1z	1,102,58,4
3	35.21216501,-80.82892703,335.98h,8.18p,1z	4,1
4	35.21398967,-80.83087777,53.99h,-2.36p,1z	3,5,2
5	35.21779259,-80.83432124,206.81h,-3.54p,1z	6,1,7
6	35.21896378,-80.83559920,308.49h,-0.04p,1z	95,97,7,5,9,57
7	35.22013902,-80.83691868,36.62h,2.96p,1z	94,8,5
8	35.22198882,-80.83902367,317.85h,0.65p,1z	9,56,93,96,7,9
9	35.22260664,-80.83975155,317.38h,-0.79p,1z	57,55,8,10,92,6,8,10
10	35.22343866,-80.84074168,228.87h,2.07p,1z	9,56,93,91,11,44,57,12
11	35.2251884,-80.842645270,220.84h,-4.01p,1z	10,92,45,90,12,37,88,82
12	35.22628729,-80.84411130,130.64h,1.49p,1z	38,87,36,89,46,13
13	35.22695043,-80.84489384,173.02h,-9.51p,1z	14,12,47,81,83
14	35.22815061,-80.84626595,228.03h,-0.22p,1z	13,79,23,48
15	35.22942825,-80.84571570,209.89h,-4.01p,1z	79,23,48,49
16	35.23062709,-80.84684453,209.75h,7.83p,1z	17,15,68
17	35.23149737,-80.84566829,236.39h,-0.9p,1z	16,18,20
18	35.23215838,-80.84496423,53.4h,-0.66p,1z	17
19	35.23352788,-80.84795384,231.48h,-7.75p,1z	20,18
20	35.23216154,-80.84678218,228.5h,5.43p,1z	17,19
21	35.23066216,-80.84691060,232.34h,-8.99p,1z	17,15,68
22	35.22947998,-80.84574892,136.02h,-6.02p,1z	79,23,48,49
23	35.22904207,-80.84528416,42.02h,1.92p,1z	15,47,81,49
24	35.22956175,-80.83970449,225.28h,3.24p,1z	34,52,36,46,89
25	35.22964387,-80.83969360,131.63h,-32.69p,1z	32,34,26
26	35.23010822,-80.83892135,48.56h,-2.17p,1z	25,27
27	35.23086445,-80.83789948,-147.29h,5p,1z	26,28
28	35.23242895,-80.83566387,222.21h,5.93p,1z	27,29
29	35.23140488,-80.83413883,187.21h,1.44p,1z	28,30
30	35.23001514,-80.83250321,337.3h,3.99p,1z	31,29
31	35.22852258,-80.83448195,35.7h,17.65p,1z	30,32
32	35.22744397,-80.83741001,236.82h,-4.01p,1z	25
33	35.22939442,-80.84002872,68.43h,11.29p,1z	32,34,26
34	35.228708,-80.8409671400,206.39h,10.51p,1z	24,25
35	35.22807689,-80.84202166,14.3h,-13.64p,1z	34,52,36,46,89
36	35.22725327,-80.84326651,224.03h,9.91p,1z	37,35,45,47
37	35.22659719,-80.84413631,339.85h,2.85p,1z	38,87,36,89,46,13
38	35.22494467,-80.84650855,245.58h,8.37p,1z	39,37,83
39	35.22431393,-80.84733670,130.99h,5p,1z	85,40,41
40	35.22087161,-80.85114108,65.7h,6.05p,1z	72,64,61
41	35.22245878,-80.84746892,117.14h,9.69p,1z	39,42
42	35.22095486,-80.84524796,-173.96h,5p,1z	41,43,59
43	35.22249839,-80.84362274,242.3h,11.7p,1z	42,58,10
44	35.22529849,-80.84340932,202.58h,0.9p,1z	10,92,45,90,12,37,88,82
45	35.22625099,-80.84212564,130.37h,-1.28p,1z	44,52,46,36
46	35.22697026,-80.84290036,199.04h,-3.22p,1z	37,35,45,47
47	35.2280303,-80.844040340,224.03h,9.91p,1z	46,48,22,88,12,24
48	35.22889843,-80.84500287,235.58h,-9.74p,1z	15,47,81,49
49	35.2296663,-80.844073710,9.29h,14.54p,1z	48,50
50	35.22891971,-80.84307998,110.15h,2.37p,1z	47,51
51	35.22805248,-80.84195886,147.86h,-6.94p,1z	34,52,36,46,89
52	35.22689507,-80.84079504,354h,5.84p,1z	45,32,51
53	35.22596074,-80.83877668,196.04h,5p,1z	52,54
54	35.22501518,-80.83808128,91.72h,-13.98p,1.34z	53,55
55	35.22416688,-80.83872254,135.65h,-0.99p,1z	91,54
56	35.22325698,-80.83994162,44.01h,-2.51p,1z	57,55,8,10,92
57	35.22243508,-80.84100242,234.09h,1.45p,1z	58,56
58	35.22151407,-80.84240330,245.09h,6.09p,1z	59,57
59	35.22024623,-80.84440566,227.37h,1.84p,1z	60,58
60	35.21969787,-80.84594152,131.59h,6.08p,1z	61,59
61	35.21883911,-80.84885568,146.78h,2.66p,0.5z	62,60
62	35.21796284,-80.85039732,124.63h,12.64p,1z	61
63	35.22030222,-80.85186479,242.3h,11.7p,1z	72,64,61
64	35.22251521,-80.85281961,202.58h,0.9p,1z	65,63
65	35.22430485,-80.85450819,130.37h,-1.28p,1z	71,64
66	35.22756103,-80.85595972,199.04h,-3.22p,1z	67,71
67	35.23196835,-80.85100253,224.03h,9.91p,1z	68,66
68	35.22983845,-80.84844572,9.29h,14.54p,1z	69,16,79
69	35.22856313,-80.84981034,110.15h,2.37p,1z	68,77
70	35.22596696,-80.85093122,91.72h,-13.98p,1.34z	69,71
71	35.22410809,-80.85336672,146.78h,2.66p,0.5z	65,70
72	35.22227067,-80.85267038,242.3h,11.7p,1z	65,63
73	35.22103209,-80.85131085,202.58h,0.9p,1z	72,64,61
74	35.22301951,-80.84904158,-173.96h,5p,1z	85,40,41
75	35.2242762,-80.849310210,337.3h,3.99p,1z	74,84,70
76	35.22635018,-80.85004009,53.99h,-2.36p,1z	70,77,84
77	35.22700496,-80.84908173,249.8h,-9.36p,1z	76,78,69
78	35.22752339,-80.84836725,79.97h,-4.03p,1z	77,79
79	35.2282899,-80.847297120,308.49h,-0.04p,1z	78,14,68,15
80	35.22907722,-80.84616633,206.81h,-3.54p,1z	79,23,48,49
81	35.22843651,-80.84457645,339.85h,2.85p,1z	46,48,22,88,12,24
